episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
11,0.0,16.057085666805506,1,11,1.9475356704684634
8,0.0,17.746709018945694,2,19,14.209351694500754
8,0.0,15.460181206464767,3,27,13.753231172550947
8,0.0,15.84502525627613,4,35,13.737459622116232
8,0.0,16.2166485786438,5,43,13.634631208575803
8,0.0,14.304088056087494,6,51,12.223729920029843
8,0.0,16.392059084028006,7,59,14.174219760519009
8,0.0,17.720339477062225,8,67,14.065706468406225
8,0.0,15.958454832434654,9,75,12.378397661142314
8,0.0,16.88750523328781,10,83,12.882001479602865
8,0.0,15.986612319946289,11,91,13.372902863774621
8,0.0,17.085589289665222,12,99,13.197489386372236
8,0.0,16.419157207012177,13,107,13.570615308705886
8,0.0,15.12497365474701,14,115,13.2007344225353
8,0.0,15.178990244865417,15,123,14.069044517298446
8,0.0,17.308098018169403,16,131,12.592491738089752
8,0.0,16.539591073989868,17,139,13.66874515495784
8,0.0,15.438639104366302,18,147,13.89454296097288
8,0.0,18.42841464281082,19,155,14.062016407011221
8,0.0,14.505280137062073,20,163,11.730551095272006
8,0.0,15.954305946826935,21,171,13.125149667572723
8,0.0,15.615592956542969,22,179,12.371241602584972
8,0.0,19.186561107635498,23,187,12.972779705288097
8,0.0,15.55970448255539,24,195,13.898537097772303
8,0.0,15.158960819244385,25,203,13.874170657461995
8,0.0,17.686386585235596,26,211,12.928045568519995
8,0.0,17.367839097976685,27,219,12.543600356482782
8,0.0,15.722445249557495,28,227,13.285006316968078
8,0.0,15.947978794574738,29,235,12.572019916245063
8,0.0,17.89279568195343,30,243,13.821000697755075
8,0.0,14.715451180934906,31,251,14.279283772535308
8,0.0,15.723908424377441,32,259,14.160874135952602
8,0.0,19.434745132923126,33,267,14.08820106308833
8,0.0,14.90806895494461,34,275,14.127396708898706
8,0.0,16.587461948394775,35,283,14.35308721717352
8,0.0,16.164803981781006,36,291,13.885665099649076
8,0.0,16.590621292591095,37,299,13.981362867405018
8,0.0,16.364574253559113,38,307,13.19515913698148
8,0.0,15.8546644449234,39,315,12.998897854554766
8,0.0,16.1316659450531,40,323,13.314199394571618
8,0.0,15.548245251178741,41,331,12.886741083687465
8,0.0,14.520067811012268,42,339,13.235778348337817
8,0.0,14.643036127090454,43,347,12.727227624942678
8,0.0,15.10064321756363,44,355,12.708635352382279
8,0.0,15.04093736410141,45,363,12.771533177050207
9,0.0,17.164301812648773,46,372,11.591605615499555
8,0.0,15.382962942123413,47,380,10.841023735636734
8,0.0,15.699195325374603,48,388,10.590105634580729
8,0.0,16.19635170698166,49,396,11.466857129187584
8,0.0,16.239792346954346,50,404,10.227487183801312
8,0.0,17.25360018014908,51,412,13.711664817573132
8,0.0,14.89718222618103,52,420,13.826872510822065
8,0.0,16.02318650484085,53,428,12.957105097010992
8,0.0,15.21877771615982,54,436,14.137444152885006
8,0.0,16.17043799161911,55,444,13.861240662971374
8,0.0,15.622382581233978,56,452,13.74056489808755
8,0.0,18.451888978481293,57,460,14.003547374984246
8,0.0,15.42245215177536,58,468,13.754009143260955
8,0.0,14.767651855945587,59,476,13.88123042198331
8,0.0,16.126216053962708,60,484,13.863497089669899
8,0.0,14.893490135669708,61,492,13.94499457443046
8,0.0,16.286746859550476,62,500,13.74556328883172
8,0.0,17.99767678976059,63,508,13.874950896191033
8,0.0,17.318287074565887,64,516,13.828513637317137
8,0.0,14.51462870836258,65,524,13.738494558145668
8,0.0,17.325717329978943,66,532,13.995767204594843
8,0.0,16.853272914886475,67,540,13.976965836976376
8,0.0,17.136715590953827,68,548,13.893766270225596
8,0.0,16.790652453899384,69,556,13.65266114420636
8,0.0,16.76709020137787,70,564,13.900736579586223
8,0.0,17.143345713615417,71,572,13.832219000856206
8,0.0,16.626076877117157,72,580,14.018003339645825
8,0.0,17.157492637634277,73,588,13.927514269146972
8,0.0,15.809981226921082,74,596,12.502550295159079
8,0.0,16.16438215970993,75,604,12.771708179702935
8,0.0,14.757601499557495,76,612,12.477890276749454
